NOM, ACC, DAT, ILL, INE, etc. - nominal cases
pl - plural
P1sg, P2sg, P1pl, etc. - possessive with 1st person singular possessor, 2nd person singular possessor, 1st person plural possessor, etc.
NPoss - nominal possessive marking (é)
NPoss+ - plural of nominal possessive marking (éi)
comp - comparative
super - superlative

NOM	csúnya
P3pl, pl, INS	csúnyáikkal
P3pl, pl, FAC	csúnyáikká
P3pl, pl, FOR	csúnyáikként
P3pl, pl, CAU	csúnyáikért
P3pl, pl, TER	csúnyáikig

NPoss, NOM	csúnyáé
NPoss, ACC	csúnyáét
NPoss, DAT	csúnyáénak
NPoss, ILL	csúnyáéba
NPoss, INE	csúnyáéban
NPoss, ELA	csúnyáéból
NPoss, ALL	csúnyáéhoz
NPoss, ADE	csúnyáénál
NPoss, ABL	csúnyáétól
NPoss, SUB	csúnyáéra
NPoss, SUP	csúnyáén
NPoss, DEL	csúnyáéról
NPoss, INS	csúnyáéval
NPoss, FAC	csúnyáévá
NPoss, FOR	csúnyáéként
NPoss, TEM	csúnyáékor
NPoss, CAU	csúnyáéért
NPoss, TER	csúnyáéig
NPoss, SOC	csúnyáéstul
NPoss, ESS	csúnyáéul
pl, NPoss, NOM	csúnyáké
pl, NPoss, ACC	csúnyákét
pl, NPoss, DAT	csúnyákénak
pl, NPoss, ILL	csúnyákéba
pl, NPoss, INE	csúnyákéban
pl, NPoss, ELA	csúnyákéból
pl, NPoss, ALL	csúnyákéhoz
pl, NPoss, ADE	csúnyákénál
pl, NPoss, ABL	csúnyákétól
pl, NPoss, SUB	csúnyákéra
pl, NPoss, SUP	csúnyákén
pl, NPoss, DEL	csúnyákéról
pl, NPoss, INS	csúnyákéval
pl, NPoss, FAC	csúnyákévá
pl, NPoss, FOR	csúnyákéként
pl, NPoss, CAU	csúnyákéért
pl, NPoss, TER	csúnyákéig

P1sg, NPoss, NOM	csúnyámé
P1sg, NPoss, ACC	csúnyámét
P1sg, NPoss, DAT	csúnyáménak
P1sg, NPoss, ILL	csúnyáméba
P1sg, NPoss, INE	csúnyáméban
P1sg, NPoss, ELA	csúnyáméból
P1sg, NPoss, ALL	csúnyáméhoz
P1sg, NPoss, ADE	csúnyáménál
P1sg, NPoss, ABL	csúnyámétól
P1sg, NPoss, SUB	csúnyáméra
P1sg, NPoss, SUP	csúnyámén
P1sg, NPoss, DEL	csúnyáméról
P1sg, NPoss, INS	csúnyáméval
P1sg, NPoss, FAC	csúnyámévá
P1sg, NPoss, FOR	csúnyáméként
P1sg, NPoss, TEM	csúnyámékor
P1sg, NPoss, CAU	csúnyáméért
P1sg, NPoss, TER	csúnyáméig
P1sg, NPoss, ESS	csúnyáméul
P1sg, pl, NPoss, NOM	csúnyáimé
P1sg, pl, NPoss, ACC	csúnyáimét
P1sg, pl, NPoss, DAT	csúnyáiménak
P1sg, pl, NPoss, ILL	csúnyáiméba
P1sg, pl, NPoss, INE	csúnyáiméban
P1sg, pl, NPoss, ELA	csúnyáiméból
P1sg, pl, NPoss, ALL	csúnyáiméhoz
P1sg, pl, NPoss, ADE	csúnyáiménál
P1sg, pl, NPoss, ABL	csúnyáimétól
P1sg, pl, NPoss, SUB	csúnyáiméra
P1sg, pl, NPoss, SUP	csúnyáimén
P1sg, pl, NPoss, DEL	csúnyáiméról
P1sg, pl, NPoss, INS	csúnyáiméval
P1sg, pl, NPoss, FAC	csúnyáimévá
P1sg, pl, NPoss, FOR	csúnyáiméként
P1sg, pl, NPoss, CAU	csúnyáiméért
P1sg, pl, NPoss, TER	csúnyáiméig

P2sg, NPoss, NOM	csúnyádé
P2sg, NPoss, ACC	csúnyádét
P2sg, NPoss, DAT	csúnyádénak
P2sg, NPoss, ILL	csúnyádéba
P2sg, NPoss, INE	csúnyádéban
P2sg, NPoss, ELA	csúnyádéból
P2sg, NPoss, ALL	csúnyádéhoz
P2sg, NPoss, ADE	csúnyádénál
P2sg, NPoss, ABL	csúnyádétól
P2sg, NPoss, SUB	csúnyádéra
P2sg, NPoss, SUP	csúnyádén
P2sg, NPoss, DEL	csúnyádéról
P2sg, NPoss, INS	csúnyádéval
P2sg, NPoss, FAC	csúnyádévá
P2sg, NPoss, FOR	csúnyádéként
P2sg, NPoss, TEM	csúnyádékor
P2sg, NPoss, CAU	csúnyádéért
P2sg, NPoss, TER	csúnyádéig
P2sg, NPoss, ESS	csúnyádéul
P2sg, pl, NPoss, NOM	csúnyáidé
P2sg, pl, NPoss, ACC	csúnyáidét
P2sg, pl, NPoss, DAT	csúnyáidénak
P2sg, pl, NPoss, ILL	csúnyáidéba
P2sg, pl, NPoss, INE	csúnyáidéban
P2sg, pl, NPoss, ELA	csúnyáidéból
P2sg, pl, NPoss, ALL	csúnyáidéhoz
P2sg, pl, NPoss, ADE	csúnyáidénál
P2sg, pl, NPoss, ABL	csúnyáidétól
P2sg, pl, NPoss, SUB	csúnyáidéra
P2sg, pl, NPoss, SUP	csúnyáidén
P2sg, pl, NPoss, DEL	csúnyáidéról
P2sg, pl, NPoss, INS	csúnyáidéval
P2sg, pl, NPoss, FAC	csúnyáidévá
P2sg, pl, NPoss, FOR	csúnyáidéként
P2sg, pl, NPoss, CAU	csúnyáidéért
P2sg, pl, NPoss, TER	csúnyáidéig

P3sg, NPoss, NOM	csúnyájáé
P3sg, NPoss, ACC	csúnyájáét
P3sg, NPoss, DAT	csúnyájáénak
P3sg, NPoss, ILL	csúnyájáéba
P3sg, NPoss, INE	csúnyájáéban
P3sg, NPoss, ELA	csúnyájáéból
P3sg, NPoss, ALL	csúnyájáéhoz
P3sg, NPoss, ADE	csúnyájáénál
P3sg, NPoss, ABL	csúnyájáétól
P3sg, NPoss, SUB	csúnyájáéra
P3sg, NPoss, SUP	csúnyájáén
P3sg, NPoss, DEL	csúnyájáéról
P3sg, NPoss, INS	csúnyájáéval
P3sg, NPoss, FAC	csúnyájáévá
P3sg, NPoss, FOR	csúnyájáéként
P3sg, NPoss, TEM	csúnyájáékor
P3sg, NPoss, CAU	csúnyájáéért
P3sg, NPoss, TER	csúnyájáéig
P3sg, NPoss, ESS	csúnyájáéul
P3sg, pl, NPoss, NOM	csúnyáié
P3sg, pl, NPoss, ACC	csúnyáiét
P3sg, pl, NPoss, DAT	csúnyáiénak
P3sg, pl, NPoss, ILL	csúnyáiéba
P3sg, pl, NPoss, INE	csúnyáiéban
P3sg, pl, NPoss, ELA	csúnyáiéból
P3sg, pl, NPoss, ALL	csúnyáiéhoz
P3sg, pl, NPoss, ADE	csúnyáiénál
P3sg, pl, NPoss, ABL	csúnyáiétól
P3sg, pl, NPoss, SUB	csúnyáiéra
P3sg, pl, NPoss, SUP	csúnyáién
P3sg, pl, NPoss, DEL	csúnyáiéról
P3sg, pl, NPoss, INS	csúnyáiéval
P3sg, pl, NPoss, FAC	csúnyáiévá
P3sg, pl, NPoss, FOR	csúnyáiéként
P3sg, pl, NPoss, CAU	csúnyáiéért
P3sg, pl, NPoss, TER	csúnyáiéig

P1pl, NPoss, NOM	csúnyánké
P1pl, NPoss, ACC	csúnyánkét
P1pl, NPoss, DAT	csúnyánkénak
P1pl, NPoss, ILL	csúnyánkéba
P1pl, NPoss, INE	csúnyánkéban
P1pl, NPoss, ELA	csúnyánkéból
P1pl, NPoss, ALL	csúnyánkéhoz
P1pl, NPoss, ADE	csúnyánkénál
P1pl, NPoss, ABL	csúnyánkétól
P1pl, NPoss, SUB	csúnyánkéra
P1pl, NPoss, SUP	csúnyánkén
P1pl, NPoss, DEL	csúnyánkéról
P1pl, NPoss, INS	csúnyánkéval
P1pl, NPoss, FAC	csúnyánkévá
P1pl, NPoss, FOR	csúnyánkéként
P1pl, NPoss, TEM	csúnyánkékor
P1pl, NPoss, CAU	csúnyánkéért
P1pl, NPoss, TER	csúnyánkéig
P1pl, NPoss, ESS	csúnyánkéul
P1pl, pl, NPoss, NOM	csúnyáinké
P1pl, pl, NPoss, ACC	csúnyáinkét
P1pl, pl, NPoss, DAT	csúnyáinkénak
P1pl, pl, NPoss, ILL	csúnyáinkéba
P1pl, pl, NPoss, INE	csúnyáinkéban
P1pl, pl, NPoss, ELA	csúnyáinkéból
P1pl, pl, NPoss, ALL	csúnyáinkéhoz
P1pl, pl, NPoss, ADE	csúnyáinkénál
P1pl, pl, NPoss, ABL	csúnyáinkétól
P1pl, pl, NPoss, SUB	csúnyáinkéra
P1pl, pl, NPoss, SUP	csúnyáinkén
P1pl, pl, NPoss, DEL	csúnyáinkéról
P1pl, pl, NPoss, INS	csúnyáinkéval
P1pl, pl, NPoss, FAC	csúnyáinkévá
P1pl, pl, NPoss, FOR	csúnyáinkéként
P1pl, pl, NPoss, CAU	csúnyáinkéért
P1pl, pl, NPoss, TER	csúnyáinkéig

P2pl, NPoss, NOM	csúnyátoké
P2pl, NPoss, ACC	csúnyátokét
P2pl, NPoss, DAT	csúnyátokénak
P2pl, NPoss, ILL	csúnyátokéba
P2pl, NPoss, INE	csúnyátokéban
P2pl, NPoss, ELA	csúnyátokéból
P2pl, NPoss, ALL	csúnyátokéhoz
P2pl, NPoss, ADE	csúnyátokénál
P2pl, NPoss, ABL	csúnyátokétól
P2pl, NPoss, SUB	csúnyátokéra
P2pl, NPoss, SUP	csúnyátokén
P2pl, NPoss, DEL	csúnyátokéról
P2pl, NPoss, INS	csúnyátokéval
P2pl, NPoss, FAC	csúnyátokévá
P2pl, NPoss, FOR	csúnyátokéként
P2pl, NPoss, TEM	csúnyátokékor
P2pl, NPoss, CAU	csúnyátokéért
P2pl, NPoss, TER	csúnyátokéig
P2pl, NPoss, ESS	csúnyátokéul
P2pl, pl, NPoss, NOM	csúnyáitoké
P2pl, pl, NPoss, ACC	csúnyáitokét
P2pl, pl, NPoss, DAT	csúnyáitokénak
P2pl, pl, NPoss, ILL	csúnyáitokéba
P2pl, pl, NPoss, INE	csúnyáitokéban
P2pl, pl, NPoss, ELA	csúnyáitokéból
P2pl, pl, NPoss, ALL	csúnyáitokéhoz
P2pl, pl, NPoss, ADE	csúnyáitokénál
P2pl, pl, NPoss, ABL	csúnyáitokétól
P2pl, pl, NPoss, SUB	csúnyáitokéra
P2pl, pl, NPoss, SUP	csúnyáitokén
P2pl, pl, NPoss, DEL	csúnyáitokéról
P2pl, pl, NPoss, INS	csúnyáitokéval
P2pl, pl, NPoss, FAC	csúnyáitokévá
P2pl, pl, NPoss, FOR	csúnyáitokéként
P2pl, pl, NPoss, CAU	csúnyáitokéért
P2pl, pl, NPoss, TER	csúnyáitokéig

P3pl, NPoss, NOM	csúnyájuké
P3pl, NPoss, ACC	csúnyájukét
P3pl, NPoss, DAT	csúnyájukénak
P3pl, NPoss, ILL	csúnyájukéba
P3pl, NPoss, INE	csúnyájukéban
P3pl, NPoss, ELA	csúnyájukéból
P3pl, NPoss, ALL	csúnyájukéhoz
P3pl, NPoss, ADE	csúnyájukénál
P3pl, NPoss, ABL	csúnyájukétól
P3pl, NPoss, SUB	csúnyájukéra
P3pl, NPoss, SUP	csúnyájukén
P3pl, NPoss, DEL	csúnyájukéról
P3pl, NPoss, INS	csúnyájukéval
P3pl, NPoss, FAC	csúnyájukévá
P3pl, NPoss, FOR	csúnyájukéként
P3pl, NPoss, TEM	csúnyájukékor
P3pl, NPoss, CAU	csúnyájukéért
P3pl, NPoss, TER	csúnyájukéig
P3pl, NPoss, ESS	csúnyájukéul
P3pl, pl, NPoss, NOM	csúnyáiké
P3pl, pl, NPoss, ACC	csúnyáikét
P3pl, pl, NPoss, DAT	csúnyáikénak
P3pl, pl, NPoss, ILL	csúnyáikéba
P3pl, pl, NPoss, INE	csúnyáikéban
P3pl, pl, NPoss, ELA	csúnyáikéból
P3pl, pl, NPoss, ALL	csúnyáikéhoz
P3pl, pl, NPoss, ADE	csúnyáikénál
P3pl, pl, NPoss, ABL	csúnyáikétól
P3pl, pl, NPoss, SUB	csúnyáikéra
P3pl, pl, NPoss, SUP	csúnyáikén
P3pl, pl, NPoss, DEL	csúnyáikéról
P3pl, pl, NPoss, INS	csúnyáikéval
P3pl, pl, NPoss, FAC	csúnyáikévá
P3pl, pl, NPoss, FOR	csúnyáikéként
P3pl, pl, NPoss, CAU	csúnyáikéért
P3pl, pl, NPoss, TER	csúnyáikéig

NPoss+, NOM	csúnyáéi
NPoss+, ACC	csúnyáéit
NPoss+, DAT	csúnyáéinak
NPoss+, ILL	csúnyáéiba
NPoss+, INE	csúnyáéiban
NPoss+, ELA	csúnyáéiból
NPoss+, ALL	csúnyáéihoz
NPoss+, ADE	csúnyáéinál
NPoss+, ABL	csúnyáéitól
NPoss+, SUB	csúnyáéira
NPoss+, SUP	csúnyáéin
NPoss+, DEL	csúnyáéiról
NPoss+, INS	csúnyáéival
NPoss+, FAC	csúnyáéivá
NPoss+, FOR	csúnyáéiként
NPoss+, TEM	csúnyáéikor
NPoss+, CAU	csúnyáéiért
NPoss+, TER	csúnyáéiig
NPoss+, SOC	csúnyáéistul
NPoss+, ESS	csúnyáéiul
pl, NPoss+, NOM	csúnyákéi
pl, NPoss+, ACC	csúnyákéit
pl, NPoss+, DAT	csúnyákéinak
pl, NPoss+, ILL	csúnyákéiba
pl, NPoss+, INE	csúnyákéiban
pl, NPoss+, ELA	csúnyákéiból
pl, NPoss+, ALL	csúnyákéihoz
pl, NPoss+, ADE	csúnyákéinál
pl, NPoss+, ABL	csúnyákéitól
pl, NPoss+, SUB	csúnyákéira
pl, NPoss+, SUP	csúnyákéin
pl, NPoss+, DEL	csúnyákéiról
pl, NPoss+, INS	csúnyákéival
pl, NPoss+, FAC	csúnyákéivá
pl, NPoss+, FOR	csúnyákéiként
pl, NPoss+, CAU	csúnyákéiért
pl, NPoss+, TER	csúnyákéiig

P1sg, NPoss+, NOM	csúnyáméi
P1sg, NPoss+, ACC	csúnyáméit
P1sg, NPoss+, DAT	csúnyáméinak
P1sg, NPoss+, ILL	csúnyáméiba
P1sg, NPoss+, INE	csúnyáméiban
P1sg, NPoss+, ELA	csúnyáméiból
P1sg, NPoss+, ALL	csúnyáméihoz
P1sg, NPoss+, ADE	csúnyáméinál
P1sg, NPoss+, ABL	csúnyáméitól
P1sg, NPoss+, SUB	csúnyáméira
P1sg, NPoss+, SUP	csúnyáméin
P1sg, NPoss+, DEL	csúnyáméiról
P1sg, NPoss+, INS	csúnyáméival
P1sg, NPoss+, FAC	csúnyáméivá
P1sg, NPoss+, FOR	csúnyáméiként
P1sg, NPoss+, TEM	csúnyáméikor
P1sg, NPoss+, CAU	csúnyáméiért
P1sg, NPoss+, TER	csúnyáméiig
P1sg, NPoss+, ESS	csúnyáméiul
P1sg, pl, NPoss+, NOM	csúnyáiméi
P1sg, pl, NPoss+, ACC	csúnyáiméit
P1sg, pl, NPoss+, DAT	csúnyáiméinak
P1sg, pl, NPoss+, ILL	csúnyáiméiba
P1sg, pl, NPoss+, INE	csúnyáiméiban
P1sg, pl, NPoss+, ELA	csúnyáiméiból
P1sg, pl, NPoss+, ALL	csúnyáiméihoz
P1sg, pl, NPoss+, ADE	csúnyáiméinál
P1sg, pl, NPoss+, ABL	csúnyáiméitól
P1sg, pl, NPoss+, SUB	csúnyáiméira
P1sg, pl, NPoss+, SUP	csúnyáiméin
P1sg, pl, NPoss+, DEL	csúnyáiméiról
P1sg, pl, NPoss+, INS	csúnyáiméival
P1sg, pl, NPoss+, FAC	csúnyáiméivá
P1sg, pl, NPoss+, FOR	csúnyáiméiként
P1sg, pl, NPoss+, CAU	csúnyáiméiért
P1sg, pl, NPoss+, TER	csúnyáiméiig

P2sg, NPoss+, NOM	csúnyádéi
P2sg, NPoss+, ACC	csúnyádéit
P2sg, NPoss+, DAT	csúnyádéinak
P2sg, NPoss+, ILL	csúnyádéiba
P2sg, NPoss+, INE	csúnyádéiban
P2sg, NPoss+, ELA	csúnyádéiból
P2sg, NPoss+, ALL	csúnyádéihoz
P2sg, NPoss+, ADE	csúnyádéinál
P2sg, NPoss+, ABL	csúnyádéitól
P2sg, NPoss+, SUB	csúnyádéira
P2sg, NPoss+, SUP	csúnyádéin
P2sg, NPoss+, DEL	csúnyádéiról
P2sg, NPoss+, INS	csúnyádéival
P2sg, NPoss+, FAC	csúnyádéivá
P2sg, NPoss+, FOR	csúnyádéiként
P2sg, NPoss+, TEM	csúnyádéikor
P2sg, NPoss+, CAU	csúnyádéiért
P2sg, NPoss+, TER	csúnyádéiig
P2sg, NPoss+, ESS	csúnyádéiul
P2sg, pl, NPoss+, NOM	csúnyáidéi
P2sg, pl, NPoss+, ACC	csúnyáidéit
P2sg, pl, NPoss+, DAT	csúnyáidéinak
P2sg, pl, NPoss+, ILL	csúnyáidéiba
P2sg, pl, NPoss+, INE	csúnyáidéiban
P2sg, pl, NPoss+, ELA	csúnyáidéiból
P2sg, pl, NPoss+, ALL	csúnyáidéihoz
P2sg, pl, NPoss+, ADE	csúnyáidéinál
P2sg, pl, NPoss+, ABL	csúnyáidéitól
P2sg, pl, NPoss+, SUB	csúnyáidéira
P2sg, pl, NPoss+, SUP	csúnyáidéin
P2sg, pl, NPoss+, DEL	csúnyáidéiról
P2sg, pl, NPoss+, INS	csúnyáidéival
P2sg, pl, NPoss+, FAC	csúnyáidéivá
P2sg, pl, NPoss+, FOR	csúnyáidéiként
P2sg, pl, NPoss+, CAU	csúnyáidéiért
P2sg, pl, NPoss+, TER	csúnyáidéiig

P3sg, NPoss+, NOM	csúnyájáéi
P3sg, NPoss+, ACC	csúnyájáéit
P3sg, NPoss+, DAT	csúnyájáéinak
P3sg, NPoss+, ILL	csúnyájáéiba
P3sg, NPoss+, INE	csúnyájáéiban
P3sg, NPoss+, ELA	csúnyájáéiból
P3sg, NPoss+, ALL	csúnyájáéihoz
P3sg, NPoss+, ADE	csúnyájáéinál
P3sg, NPoss+, ABL	csúnyájáéitól
P3sg, NPoss+, SUB	csúnyájáéira
P3sg, NPoss+, SUP	csúnyájáéin
P3sg, NPoss+, DEL	csúnyájáéiról
P3sg, NPoss+, INS	csúnyájáéival
P3sg, NPoss+, FAC	csúnyájáéivá
P3sg, NPoss+, FOR	csúnyájáéiként
P3sg, NPoss+, TEM	csúnyájáéikor
P3sg, NPoss+, CAU	csúnyájáéiért
P3sg, NPoss+, TER	csúnyájáéiig
P3sg, NPoss+, ESS	csúnyájáéiul
P3sg, pl, NPoss+, NOM	csúnyáiéi
P3sg, pl, NPoss+, ACC	csúnyáiéit
P3sg, pl, NPoss+, DAT	csúnyáiéinak
P3sg, pl, NPoss+, ILL	csúnyáiéiba
P3sg, pl, NPoss+, INE	csúnyáiéiban
P3sg, pl, NPoss+, ELA	csúnyáiéiból
P3sg, pl, NPoss+, ALL	csúnyáiéihoz
